date,strategy_equity,baseline_equity
2020-01-31,0.9977674881545502,1.0040252889803847
2020-02-29,0.9377908343314048,0.9208947390030511
2020-03-31,0.9088781701848683,0.804968024990753
2020-04-30,0.9666585051629183,0.8996308443011932
2020-05-31,0.9994792862556663,0.9455974662635269
2020-06-30,0.9913530844899122,0.9522431419636193
2020-07-31,1.0468074641413831,1.0108966978688056
2020-08-31,1.0853785719814606,1.075177575898104
2020-09-30,1.0764466190314428,1.042037004909068
2020-10-31,1.0684910312169869,1.0181008229127269
2020-11-30,1.1296151769923573,1.1269720510361316
2020-12-31,1.1448576282232923,1.1557905800514618
2021-01-31,1.1336002175039803,1.136617323885767
2021-02-28,1.1319667100272028,1.1991602113240196
2021-03-31,1.1911678677397064,1.257289362802552
2021-04-30,1.2438472260956164,1.3167709127576175
2021-05-31,1.2543931010268283,1.3517260238519575
2021-06-30,1.2701513401503886,1.3536530106003086
2021-07-31,1.310043621878697,1.3589474934508718
2021-08-31,1.343797839969431,1.3883360266830307
2021-09-30,1.2783738040543777,1.310505369517167
2021-10-31,1.3257128444575446,1.3998094680454725
2021-11-30,1.2977113212566258,1.3777918047238764
2021-12-31,1.3821411587255046,1.4469803730623616
2022-01-31,1.3360007390515354,1.3751708290710984
2022-02-28,1.31009380269072,1.3613003353193867
2022-03-31,1.366060815192046,1.423776287515496
2022-04-30,1.3348420998297585,1.3623734913930354
2022-05-31,1.3639764456956318,1.393720677973146
2022-06-30,1.2906679583034013,1.2677958092958768
2022-07-31,1.3463584806049411,1.3552928369152442
2022-08-31,1.3162738050446692,1.3246912698375883
2022-09-30,1.238325931534785,1.1954832850635888
2022-10-31,1.3123312249142103,1.320507129001438
2022-11-30,1.362413551483551,1.3935561434968347
2022-12-31,1.3270230541312478,1.328591691087511
2023-01-31,1.349692890740335,1.3868781784726767
2023-02-28,1.3037299726172573,1.338980102801836
2023-03-31,1.3289287332018977,1.3466854355331153
2023-04-30,1.3465535560523754,1.3642770036754808
2023-05-31,1.287820163804753,1.3512075813046946
2023-06-30,1.3399460879425533,1.438542329166236
2023-07-31,1.3702663910735298,1.484860747540766
2023-08-31,1.3383458476396624,1.4553194079333311
2023-09-30,1.2891752571361585,1.3896221812985867
2023-10-31,1.2667748301226878,1.3500424544435443
2023-11-30,1.361183986890966,1.4634961716061814
2023-12-31,1.4191726527693678,1.5265019173171657
2024-01-31,1.4315141106398475,1.5305678608212487
2024-02-29,1.5000625709630597,1.6012298413004284
2024-03-31,1.5703871016694044,1.6445088906636007
2024-04-30,1.509844075860319,1.5703435868198647
2024-05-31,1.5455574088538746,1.6320851481804801
2024-06-30,1.5302592879504386,1.6269122752488763
2024-07-31,1.5899433939129815,1.6682056891270816
2024-08-31,1.656498311615499,1.7120624033258827
2024-09-30,1.6591930696753836,1.7462919364832759
2024-10-31,1.612799654532303,1.723737307749865
2024-11-30,1.6954440715684984,1.8306017188621913
2024-12-31,1.545046134216581,1.7347413699549237
2025-01-31,1.6074136981941505,1.8008955583109503
2025-02-28,1.647692071542279,1.7924850902743685
2025-03-31,1.5994955234606671,1.7150771172346782
2025-04-30,1.5477571422041727,1.6662635008931908
2025-05-31,1.6098446193602414,1.7390482341981865
2025-06-30,1.647853362997216,1.7919068582741644
2025-07-31,1.6661161108292208,1.8144885557513553
2025-08-31,1.7121154013372513,1.8421416257069811
2025-09-30,1.7484416400139804,1.8908710444592698
2025-10-31,1.765364190172483,1.893096578911916
2025-11-30,1.8054917023078456,1.9003052912875167
2025-12-31,1.8024257746446266,1.8929300490656689
2026-01-31,1.85338674101657,1.9511711384498238
2026-02-28,1.9358763976670441,2.0196994134131026
2026-03-31,1.843842231832403,1.9359466411051243
2026-04-30,1.922602073916016,2.0064771968444326
