feature,importance,std_dev
mom_12m,0.1372115495879035,0.008151177783688372
mom_6m,0.13697284252271416,0.0027591934168779107
vol_3m,0.13595821565377814,0.0030581422494570278
mom_3m,0.12733397654812875,0.005760106620747388
vol_6m,0.12417846353779245,0.004397165736318958
vol_12m,0.12130176437464085,0.0037430594104663714
mom_1m,0.10853678446519333,0.0029440788374900315
rev_1m,0.10850640330984883,0.0026679991911299906
