date,strategy_return,strategy_equity,baseline_return
2020-01-31,-0.002232511845449838,0.9977674881545502,0.004025288980384716
2020-02-29,-0.060110852012302936,0.9377908343314048,-0.0827972670506686
2020-03-31,-0.030830610716247434,0.9088781701848683,-0.12588486946705632
2020-04-30,0.06357324542880957,0.9666585051629183,0.11759823542249102
2020-05-31,0.03395281882635106,0.9994792862556663,0.051094982184652984
2020-06-30,-0.008130435395211733,0.9913530844899122,0.007028017668397929
2020-07-31,0.05593807142891394,1.0468074641413831,0.0615951465759438
2020-08-31,0.03684642034121748,1.0853785719814606,0.06358797903368042
2020-09-30,-0.008229343365155815,1.0764466190314428,-0.030823346516833168
2020-10-31,-0.007390601330156249,1.0684910312169869,-0.022970568111858717
2020-11-30,0.0572060447767647,1.1296151769923573,0.1069356056622472
2020-12-31,0.01349349012069644,1.1448576282232923,0.02557164482369777
2021-01-31,-0.0098330224141341,1.1336002175039803,-0.01658886695965383
2021-02-28,-0.0014409907933630515,1.1319667100272028,0.055025456786490366
2021-03-31,0.05229938052779018,1.1911678677397064,0.04847488344726753
2021-04-30,0.04422496592010289,1.2438472260956164,0.04730935591666715
2021-05-31,0.008478432648288214,1.2543931010268283,0.026546083875088205
2021-06-30,0.012562440841440307,1.2701513401503886,0.0014255749422207578
2021-07-31,0.03140750276544614,1.310043621878697,0.003911255550058039
2021-08-31,0.025765720718771055,1.343797839969431,0.021625951976651157
2021-09-30,-0.04868592132618824,1.2783738040543777,-0.05606038860189659
2021-10-31,0.037030671508623374,1.3257128444575446,0.06814477880484228
2021-11-30,-0.02112186158411729,1.2977113212566258,-0.0157290430049305
2021-12-31,0.06506056939313906,1.3821411587255046,0.05021699802630999
2022-01-31,-0.03338329039887354,1.3360007390515354,-0.04962717209445404
2022-02-28,-0.019391408704764215,1.31009380269072,-0.010086378694551701
2022-03-31,0.04271985134681105,1.366060815192046,0.04589431925868987
2022-04-30,-0.022853093372639036,1.3348420998297585,-0.043126716367505404
2022-05-31,0.021826061576563405,1.3639764456956318,0.02300924583320967
2022-06-30,-0.05374615347909682,1.2906679583034013,-0.09035158239913507
2022-07-31,0.043148605296396705,1.3463584806049411,0.06901507875149261
2022-08-31,-0.022345219340657602,1.3162738050446692,-0.022579302600984244
2022-09-30,-0.059218585989591274,1.238325931534785,-0.0975381869843839
2022-10-31,0.059762370709384165,1.3123312249142103,0.10458016895752677
2022-11-30,0.03816287048463295,1.362413551483551,0.05531890960000806
2022-12-31,-0.025976325113447246,1.3270230541312478,-0.04661775035938549
2023-01-31,0.017083227407777297,1.349692890740335,0.04387088055432269
2023-02-28,-0.03405435298534167,1.3037299726172573,-0.03453661353558051
2023-03-31,0.0193282053139068,1.3289287332018977,0.005754628254113389
2023-04-30,0.0132624289099482,1.3465535560523754,0.013062863589522291
2023-05-31,-0.04361756870614797,1.287820163804753,-0.009579742483070464
2023-06-30,0.040476089443885366,1.3399460879425533,0.06463458988086265
2023-07-31,0.022628002278459125,1.3702663910735298,0.0321981615941574
2023-08-31,-0.02329513709291177,1.3383458476396624,-0.0198950235948802
2023-09-30,-0.03673982370866417,1.2891752571361585,-0.0451428231332665
2023-10-31,-0.017375781058063554,1.2667748301226878,-0.02848236548588746
2023-11-30,0.07452718077697744,1.361183986890966,0.0840371477128104
2023-12-31,0.04260163683739166,1.4191726527693678,0.04305152752250493
2024-01-31,0.008696234278751623,1.4315141106398475,0.0026635692087626332
2024-02-29,0.047885284408809,1.5000625709630597,0.046167165983261226
2024-03-31,0.046881064875310914,1.5703871016694044,0.02702863027335514
2024-04-30,-0.038552931149730504,1.509844075860319,-0.04509875517535719
2024-05-31,0.023653656403695718,1.5455574088538746,0.03931723087789304
2024-06-30,-0.009898125307930404,1.5302592879504386,-0.003169487166383862
2024-07-31,0.03900260984037624,1.5899433939129815,0.02538146309818
2024-08-31,0.041859929075034746,1.656498311615499,0.02628975220780476
2024-09-30,0.0016267798409383104,1.6591930696753836,0.01999315742866514
2024-10-31,-0.027961432572857502,1.612799654532303,-0.012915726323991246
2024-11-30,0.051242829079202495,1.6954440715684984,0.06199576387415145
2024-12-31,-0.08870710622307959,1.545046134216581,-0.05236548612379191
2025-01-31,0.04036614997855254,1.6074136981941505,0.03813489981953071
2025-02-28,0.02505787613567004,1.647692071542279,-0.004670158687308841
2025-03-31,-0.02925094373762367,1.5994955234606671,-0.04318472352137775
2025-04-30,-0.03234668712579656,1.5477571422041727,-0.028461470245835098
2025-05-31,0.04011448273315636,1.6098446193602414,0.043681406491818384
2025-06-30,0.023610193915534202,1.647853362997216,0.03039514548045248
2025-07-31,0.011082750590615264,1.6661161108292208,0.012602048690711428
2025-08-31,0.0276086943815319,1.7121154013372513,0.015240145697240333
2025-09-30,0.02121716716545876,1.7484416400139804,0.026452590871555305
2025-10-31,0.009678647414486973,1.765364190172483,0.0011769890173989033
2025-11-30,0.022730444153532987,1.8054917023078456,0.0038078946715672433
2025-12-31,-0.001698112297774576,1.8024257746446266,-0.0038810828216189895
2026-01-31,0.02827354506844586,1.85338674101657,0.03076769234705858
2026-02-28,0.04450752496763245,1.9358763976670441,0.03512161163767692
2026-03-31,-0.04754134403702274,1.843842231832403,-0.04146793911597166
2026-04-30,0.042715065705671504,1.922602073916016,0.03643207629888306
